name,handle,platform,followerCount,email,profileUrl
Winston the Bulldog,winston_bulldog_wrinkles,instagram,35000,,https://instagram.com/winston_bulldog_wrinkles
Nala the Shepherd Mix,nala_shepherd_rescue,instagram,23000,,https://instagram.com/nala_shepherd_rescue
Oscar the Schnauzer,oscar_mini_schnauzer,instagram,19000,,https://instagram.com/oscar_mini_schnauzer
Ruby the Cocker Spaniel,ruby_cocker_ears,instagram,30000,,https://instagram.com/ruby_cocker_ears
Leo the Maine Coon,leo_maine_coon_king,instagram,37000,,https://instagram.com/leo_maine_coon_king
Poppy the Yorkie,poppy_yorkshire_terrier,instagram,17000,,https://instagram.com/poppy_yorkshire_terrier
Bruno the Rottweiler,bruno_rottie_gentle_giant,instagram,42000,,https://instagram.com/bruno_rottie_gentle_giant
Maple the Golden,maple_golden_retriever_pup,instagram,29000,,https://instagram.com/maple_golden_retriever_pup
Zeus the Pitbull,zeus_pitbull_smile,instagram,40000,,https://instagram.com/zeus_pitbull_smile
Willow the Border Collie,willow_bc_agility,instagram,32000,,https://instagram.com/willow_bc_agility
Mochi the Shiba,mochi_shiba_loaf,instagram,44000,,https://instagram.com/mochi_shiba_loaf
Peanut the Chihuahua,peanut_tiny_chi,instagram,14000,,https://instagram.com/peanut_tiny_chi
Finn the Irish Setter,finn_irish_setter_red,instagram,26000,,https://instagram.com/finn_irish_setter_red
Hazel the Doodle,hazel_goldendoodle_curls,instagram,38000,,https://instagram.com/hazel_goldendoodle_curls
Loki the Husky,loki_husky_blue_eyes,instagram,53000,,https://instagram.com/loki_husky_blue_eyes
Olive the Cat,olive_tuxedo_cat,instagram,21000,,https://instagram.com/olive_tuxedo_cat
Archie the Corgi,archie_corgi_sploot,instagram,41000,,https://instagram.com/archie_corgi_sploot
Pepper the Boston Terrier,pepper_boston_terrier_zoom,instagram,24000,,https://instagram.com/pepper_boston_terrier_zoom
Jasper the Bernese,jasper_bernese_mountain,instagram,36000,,https://instagram.com/jasper_bernese_mountain
Ruby the Rabbit,ruby_holland_lop,instagram,12000,,https://instagram.com/ruby_holland_lop
Hank the Hound,hank_basset_hound_ears,instagram,27000,,https://instagram.com/hank_basset_hound_ears
Bella the Maltese,bella_maltese_fluff,instagram,18000,,https://instagram.com/bella_maltese_fluff
Murphy the Lab,murphy_chocolate_lab,instagram,35000,,https://instagram.com/murphy_chocolate_lab
Coco the Poodle,coco_standard_poodle,instagram,31000,,https://instagram.com/coco_standard_poodle
Mia the Cat,mia_siamese_cat,instagram,23000,,https://instagram.com/mia_siamese_cat
Teddy the Wheaten,teddy_wheaten_terrier,instagram,28000,,https://instagram.com/teddy_wheaten_terrier
Luna the Pomeranian,luna_pom_floof,instagram,19000,,https://instagram.com/luna_pom_floof
Otis the Bulldog,otis_english_bulldog,instagram,39000,,https://instagram.com/otis_english_bulldog
Ellie the Aussie,ellie_aussie_shepherd_tri,instagram,33000,,https://instagram.com/ellie_aussie_shepherd_tri
Henry the Beagle,henry_beagle_howl,instagram,25000,,https://instagram.com/henry_beagle_howl
Fluffy Paws,fluffypaws_official,tiktok,67000,,https://tiktok.com/@fluffypaws_official
Doggo Daily,doggodaily,tiktok,89000,,https://tiktok.com/@doggodaily
Corgi Cuteness,corgicuteness,tiktok,73000,,https://tiktok.com/@corgicuteness
Golden Moments,goldenmoments_,tiktok,54000,,https://tiktok.com/@goldenmoments_
Shiba Life,shibalife_,tiktok,61000,,https://tiktok.com/@shibalife_
Tiny Paws,tinypaws_chihuahua,tiktok,42000,,https://tiktok.com/@tinypaws_chihuahua
Pom Pom Love,pompom_love,tiktok,38000,,https://tiktok.com/@pompom_love
Border Collie Tricks,bordercollie_tricks,tiktok,82000,,https://tiktok.com/@bordercollie_tricks
Puppy Shenanigans,puppyshenanigans,tiktok,91000,,https://tiktok.com/@puppyshenanigans
Cat Antics,catantics_,tiktok,56000,,https://tiktok.com/@catantics_
Doggo Adventures,doggoadventures_,tiktok,78000,,https://tiktok.com/@doggoadventures_
Paws and Play,pawsandplay_,tiktok,49000,,https://tiktok.com/@pawsandplay_
Furry Friends,furryfriends_daily,tiktok,63000,,https://tiktok.com/@furryfriends_daily
Pet Life Hacks,petlifehacks_,tiktok,71000,,https://tiktok.com/@petlifehacks_
Husky Howls,huskyhowls_,tiktok,85000,,https://tiktok.com/@huskyhowls_
Frenchie Fam,frenchiefam_,tiktok,58000,,https://tiktok.com/@frenchiefam_
Golden Retriever Club,goldenretrieverclub_,tiktok,77000,,https://tiktok.com/@goldenretrieverclub_
Corgi Nation,corginationn,tiktok,94000,,https://tiktok.com/@corginationn
Beagle Nose,beaglenose_,tiktok,46000,,https://tiktok.com/@beagle_nose
Cat Chronicles,catchronicles_,tiktok,52000,,https://tiktok.com/@catchronicles_
Doodle Days,doodledays_,tiktok,69000,,https://tiktok.com/@doodledays_
Pug Life,puglife_official,tiktok,81000,,https://tiktok.com/@puglife_official
Samoyed Cloud,samoyedcloud_,tiktok,74000,,https://tiktok.com/@samoyedcloud_
Pittie Love,pittielove_,tiktok,66000,,https://tiktok.com/@pittielove_
Lab Life,lablife_daily,tiktok,59000,,https://tiktok.com/@lablife_daily
Shepherd Squad,shepherdsquad_,tiktok,72000,,https://tiktok.com/@shepherdsquad_
Pomeranian Palace,pomeranianpalace_,tiktok,44000,,https://tiktok.com/@pomeranianpalace_
Chihuahua Chronicles,chihuahuachronicles_,tiktok,39000,,https://tiktok.com/@chihuahuachronicles_
Bulldog Basics,bulldogbasics_,tiktok,63000,,https://tiktok.com/@bulldogbasics_
Aussie Adventures,aussieadventures_,tiktok,76000,,https://tiktok.com/@aussieadventures_
Schnauzer Squad,schnauzersquad_,tiktok,48000,,https://tiktok.com/@schnauzersquad_
Maine Coon Magic,mainecoonmagic_,tiktok,55000,,https://tiktok.com/@mainecoonmagic_
Yorkie Yaps,yorkieyaps_,tiktok,41000,,https://tiktok.com/@yorkieyaps_
Rottie Rumbles,rottierumbles_,tiktok,68000,,https://tiktok.com/@rottierumbles_
Dachshund Daily,dachshunddaily_,tiktok,51000,,https://tiktok.com/@dachshunddaily_
Poodle Palace,poodlepalace_,tiktok,62000,,https://tiktok.com/@poodlepalace_
Border Collie Club,bordercollieclub_,tiktok,87000,,https://tiktok.com/@bordercollieclub_
Shiba Squad,shibasquad_,tiktok,70000,,https://tiktok.com/@shibasquad_
Corgi Corner,corgicorner_,tiktok,92000,,https://tiktok.com/@corgicorner_
Golden Gang,goldengangg,tiktok,79000,,https://tiktok.com/@goldengangg
