Partner ID,Partner Name,Category,Contact Name,Contact Email,Contact Title,Website,Instagram,Priority,Status,Date First Contacted,Date Follow-up 1,Date Follow-up 2,Date Last Contact,Next Action,Next Action Date,Response Received,Call Scheduled,Call Date,Partnership Agreement,Agreement Date,Commission Rate,Expected Monthly Orders,Notes,Last Updated
PP001,Puptrait Studio NYC,Pet Photographer,,,hello@puptraitstudio.com,https://www.puptraitstudio.com,@puptraitstudio,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Premium NYC photographer,2026-03-18
PP002,The Dog Agency,Pet Photographer,,,info@thedogagency.com,https://thedogagency.com,@thedogagency,Very High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-20,Pet influencer agency - viral reach,2026-03-18
PP003,Sophie Gamand,Pet Photographer,,,contact@sophiegamand.com,https://www.sophiegamand.com,@sophiegamand,Very High,Not Contacted,,,,,Initial Email,,No,No,,,,,20-30,Famous photographer - 300K followers,2026-03-18
PP004,Pets on Q,Pet Photographer,,,info@petsonq.com,https://www.petsonq.com,@petsonq,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Austin regional photographer,2026-03-18
PP005,The Dogist,Pet Photographer,,,info@thedogist.com,https://www.thedogist.com,@thedogist,Very High,Not Contacted,,,,,Initial Email,,No,No,,,,,30-50,3.8M Instagram followers - HUGE,2026-03-18
PP006,San Diego Pet Photography,Pet Photographer,,,info@sandiegopetphotography.com,https://www.sandiegopetphotography.com,@sandiegopetphotography,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-10,Regional template,2026-03-18
PP007,Furbaby Photography,Pet Photographer,,,hello@furbabyphotography.com,https://www.furbabyphotography.com,@furbabyphotography,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,LA market - high income demo,2026-03-18
PP008,Boston Terrier Network,Pet Photographer,,,,Via Instagram DM,@bostonterriernetwork,High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-20,500K followers - breed community,2026-03-18
PP009,Paws of Austin,Pet Photographer,,,info@pawsofaustin.com,https://www.pawsofaustin.com,@pawsofaustin,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Event photography angle,2026-03-18
PP010,Carli Davidson (Shake),Pet Photographer,,,carli@carlidavidson.com,https://www.carlidavidson.com,@carlidavidson,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Famous Shake series - art angle,2026-03-18
PP011,Puppy Tales Photography,Pet Photographer,,,info@puppytalesphotography.com,https://www.puppytalesphotography.com,@puppytalesphotography,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-10,Denver regional,2026-03-18
PP012,Seattle Dog Spot,Pet Photographer,,,info@seattledogspot.com,https://www.seattledogspot.com,@seattledogspot,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Blog + photography - SEO benefit,2026-03-18
PP013,Chicago Pet Photography,Pet Photographer,,,info@chicagopetphotography.com,https://www.chicagopetphotography.com,@chicagopetphotography,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-8,Major metro template,2026-03-18
PP014,Pawsh Magazine,Pet Photographer,,,editor@pawshmagazine.com,https://www.pawshmagazine.com,@pawshmagazine,High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-20,Publication - editorial credibility,2026-03-18
PP015,My Dog is My Home,Pet Photographer,,,hello@mydogismyhome.com,https://mydogismyhome.com,@mydogismyhome,High,Not Contacted,,,,,Initial Email,,No,No,,,,,12-18,60K followers - strong community,2026-03-18
